,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,BRK.A,BRK.A,BRK.A,BRK.A,BRK.A,MSFT,MSFT,MSFT,MSFT,MSFT
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,
2020-08-12 00:00:00-04:00,441.99,453.1,441.19,452.24,38649102,3108.0,3174.385,3101.42,3161.0,3099388,320255.0,321229.0,318800.56,320329.0,786,205.29,210.28,204.75,209.29,24332646
2020-08-13 00:00:00-04:00,457.72,464.17,455.71,460.03,48059064,3182.99,3217.521,3155.0,3161.02,2859738,318500.0,319810.0,317470.6,318114.0,277,209.44,211.35,208.15,208.72,20253372
2020-08-14 00:00:00-04:00,459.315,460.0,452.18,459.78,38149232,3178.18,3178.2356,3120.0,3148.0,2453638,317300.0,318000.0,315402.25,316500.0,225,208.76,209.59,207.51,208.89,15731496
2020-08-17 00:00:00-04:00,464.25,464.35,455.8501,458.39,25935894,3173.12,3194.97,3154.1775,3181.16,2307380,315139.0,315500.0,309747.0,310480.0,860,209.6,211.1874,208.915,210.2492,16406243
2020-08-18 00:00:00-04:00,457.41,464.0,456.03,462.08,24276411,3212.0,3320.0,3205.8186,3312.49,5011644,310910.0,314800.0,310700.0,312701.0,457,210.53,212.36,209.21,211.48,17160224
2020-08-19 00:00:00-04:00,463.933,468.65,462.44,462.825,33874948,3303.01,3315.9,3256.0,3260.15,3836717,313745.0,315300.0,310412.0,310800.0,580,211.49,212.1,209.25,209.7,21610351
2020-08-20 00:00:00-04:00,463.0,473.568,462.9335,472.83,29389880,3252.0,3312.62,3238.0,3296.05,3010116,307376.0,310107.0,307376.0,309649.0,555,209.54,215.0,208.91,214.55,22242269
2020-08-21 00:00:00-04:00,477.05,499.472,477.0,497.4,79453112,3295.0,3314.3962,3275.39,3284.59,3298563,309000.0,312600.0,309000.0,311401.0,728,213.86,216.25,212.85,213.02,28938393
2020-08-24 00:00:00-04:00,514.79,515.14,495.745,503.79,81260572,3310.15,3380.315,3257.5608,3307.45,4293678,315100.0,320000.0,314501.03,318900.0,872,214.79,215.52,212.43,213.71,21225637
2020-08-25 00:00:00-04:00,498.79,500.7172,492.21,499.31,49337045,3294.99,3357.4,3267.0,3346.05,3781529,320300.0,321001.0,319534.0,320200.0,700,213.1,216.61,213.1,216.4564,19095068
